volume,risk_weight,max_share,min_supplier,status,baseline_cost,optimized_cost,baseline_emissions,optimized_emissions,baseline_deforestation,optimized_deforestation,supplier_count,total_volume_sourced,timestamp
100000,0.75,0.3,3,completed,1014.0376449367672,952.1708391566752,1.683494291105607,0.7152637215000265,0.008206495222097186,0.0006476758185862499,5,100000.0,2026-01-09T21:12:39.861489
100000,0.75,0.3,5,completed,1014.0376449367672,952.1708391566752,1.683494291105607,0.7152637215000265,0.008206495222097186,0.0006476758185862499,5,100000.0,2026-01-09T21:13:02.649303
100000,0.75,0.3,7,completed,1014.0376449367672,957.3256667777431,1.683494291105607,0.7025640157541451,0.008206495222097186,0.0006476758185862499,7,100000.0,2026-01-09T21:13:25.455924
100000,0.75,0.3,9,completed,1014.0376449367672,964.3826716550537,1.683494291105607,0.6926053709062788,0.008206495222097186,0.0006476758185862499,9,100000.0,2026-01-09T21:13:48.128062
100000,0.75,0.3,11,completed,1014.0376449367672,971.772433614251,1.683494291105607,0.7548109155051678,0.008206495222097186,0.0006531819595805939,11,100000.0,2026-01-09T21:14:10.891532
100000,0.75,0.4,3,completed,1014.0376449367672,976.8741212178694,1.683494291105607,0.8513205071586201,0.008206495222097186,0.0008371481862377199,3,100000.0,2026-01-09T21:14:33.372083
100000,0.75,0.4,5,completed,1014.0376449367672,969.5331421085915,1.683494291105607,0.852382653787763,0.008206495222097186,0.0008345062290499919,5,100000.0,2026-01-09T21:14:55.781351
100000,0.75,0.4,7,completed,1014.0376449367672,967.0994646747939,1.683494291105607,0.8470704691132368,0.008206495222097186,0.000831864271862264,7,100000.0,2026-01-09T21:15:18.420343
100000,0.75,0.4,9,completed,1014.0376449367672,966.5679644972391,1.683494291105607,0.844499345336726,0.008206495222097186,0.000829222314674536,9,100000.0,2026-01-09T21:15:41.132111
100000,0.75,0.4,11,completed,1014.0376449367672,966.666252536276,1.683494291105607,0.9065019616763152,0.008206495222097186,0.0008320864984811519,11,100000.0,2026-01-09T21:16:04.126887
